ID,Description,ObjCount,ObjAttr,OORel,OARel,Difficulty,Category,SceneEvalID,is_house
0,"A bedroom with a bed, two nightstands, and a wardrobe in the corner of the room.","eq,1,bed; eq,2,nightstand; eq,1,wardrobe",,,"eq,1,corner,wardrobe,room",easy,SceneEval-100,0,FALSE
1,A bedroom with a bed and a wardrobe.,"eq,1,bed; eq,1,wardrobe",,,,easy,SceneEval-100,1,FALSE
2,"A bedroom with a king-size bed in the corner of the room, two large blue armchairs, and a floor lamp near a armchair.","eq,1,bed; eq,2,armchair; eq,1,floor_lamp","eq,1,bed,king_size; eq,2,armchair,large; eq,2,armchair,blue","eq,1,near,0,armchair,floor_lamp","eq,1,corner,bed,room",easy,SceneEval-100,2,FALSE
3,"A bedroom with a double bed and a mini fridge near the bed, a table across from the door, and a painting on the wall above the bed.","eq,1,bed; eq,1,fridge; eq,1,table; eq,1,painting","eq,1,bed,double; eq,1,fridge,mini","eq,1,near,0,bed,fridge; eq,1,above,0,bed,painting","eq,1,across,table,door; eq,1,on,painting,wall",easy,SceneEval-100,3,FALSE
4,"A bedroom with two bunk beds in the corners of the room, a desk placed against the wall far from the door, and a light hanging from the ceiling in the center of the room.","eq,2,bed; eq,1,desk; eq,1,light","eq,2,bed,bunk",,"eq,2,corner,bed,room; eq,1,hang,light,ceiling; eq,1,center,light,room; eq,1,against,desk,wall; eq,1,far,desk,door",easy,SceneEval-100,4,FALSE
5,"A simple bedroom featuring a twin bed against the wall, with a wardrobe positioned in the corner of the room, and a desk next to the window.","eq,1,bed; eq,1,wardrobe; eq,1,desk","eq,1,bed,twin",,"eq,1,against,bed,wall; eq,1,corner,wardrobe,room; eq,1,next,desk,window",easy,SceneEval-100,5,FALSE
6,"A minimal bedroom with a queen bed against the wall, flanked by two nightstands on each side.","eq,1,bed; eq,2,nightstand","eq,1,bed,queen","eq,1,left,0,bed,nightstand; eq,1,right,0,bed,nightstand","eq,1,against,bed,wall",easy,SceneEval-100,6,FALSE
7,"A living room with a TV, sofa, and bookshelf. There is no coffee table in the room.","eq,1,TV; eq,1,sofa; eq,1,bookshelf; eq,0,coffee_table",,,,easy,SceneEval-100,7,FALSE
8,"A living room with a TV, sofa, bookshelf, and coffee table.","eq,1,TV; eq,1,sofa; eq,1,bookshelf; eq,1,coffee_table",,,,easy,SceneEval-100,8,FALSE
9,"A living room with a sofa in front of a wall-mounted TV, a lamp behind the sofa, and a stool near the TV against the wall.","eq,1,sofa; eq,1,TV; eq,1,lamp; eq,1,stool","eq,1,TV,wall_mounted","eq,1,front,0,sofa,TV; eq,1,face,0,TV,sofa; eq,1,behind,0,sofa,lamp; eq,1,near,0,TV,stool","eq,1,on,TV,wall; eq,1,corner,sofa,room; eq,1,against,stool,wall ",easy,SceneEval-100,9,FALSE
10,"A living room with two bookcases along the wall far from the door, a wooden chair near the bookcases, and a painting on the wall opposite the bookcases.","eq,2,bookcase; eq,1,chair; eq,1,painting","eq,1,chair,wooden","eq,1,near,0,bookcase,chair; eq,2,across,0,bookcase,painting","eq,2,against,bookcase,wall; eq,2,far,bookcase,door; eq,1,on,painting,wall",easy,SceneEval-100,10,FALSE
11,"A living room with a two-seater sofa against the wall, a square rug in the middle in front of the sofa, and two large plants on the floor near the sofa.","eq,1,sofa; eq,1,rug; eq,2,plant","eq,1,sofa,two_seater; eq,1,rug,square; eq,2,plant,large","eq,1,front,0,sofa,rug; eq,2,near,0,sofa,plant","eq,1,against,sofa,wall; eq,1,middle,rug,room",easy,SceneEval-100,11,FALSE
12,"A living room with a bean bag near a wall cabinet, which is across from the window. There is a stool next to the bean bag.","eq,1,bean_bag; eq,1,wall_cabinet; eq,1,stool",,"eq,1,near,0,wall_cabinet,bean_bag; eq,1,next,0,bean_bag,stool","eq,1,on,wall_cabinet,wall; eq,1,across,wall_cabinet,window",easy,SceneEval-100,12,FALSE
13,"A living room with a sofa against the wall across from the door, a painting on the wall above the sofa, and a pendant light hanging in the middle of the room.","eq,1,sofa; eq,1,painting; eq,1,pendant_light",,"eq,1,above,0,sofa,painting","eq,1,across,sofa,door; eq,1,against,sofa,wall; eq,1,on,painting,wall; eq,1,hang,pendant_light,ceiling; eq,1,middle,pendant_light,room",easy,SceneEval-100,13,FALSE
14,A dining room with two bar stools at the short sides of a bar table.,"eq,2,bar_stool; eq,1,bar_table",,"eq,2,short_side,0,bar_table,bar_stool",,easy,SceneEval-100,14,FALSE
15,A dining room with three dining chairs surrounding a dining table.,"eq,3,dining_chair; eq,1,dining_table",,"eq,1,surround,0,dining_table,dining_chair:0,dining_chair:1,dining_chair:2",,easy,SceneEval-100,15,FALSE
16,"A small dining room with a dining table next to a window, a chair on the long side of the table, and a rug in the middle of the room.","eq,1,dining_table; eq,1,chair; eq,1,rug",,"eq,1,long_side,0,dining_table,chair","eq,1,next,dining_table,window; eq,1,middle,rug,room",easy,SceneEval-100,16,FALSE
17,"A dining room with a cabinet next to the door against the wall, and two wine cabinets against the wall near a bar table.","eq,1,cabinet; eq,2,wine_cabinet; eq,1,bar_table",,"eq,2,near,0,bar_table,wine_cabinet","eq,1,against,cabinet,wall; eq,1,next,cabinet,door; eq,2,against,wine_cabinet,wall",easy,SceneEval-100,17,FALSE
18,A dining room with a table in the corner of the room and a chair on the long side.,"eq,1,table; eq,1,chair",,"eq,1,long_side,0,table,chair","eq,1,corner,table,room",easy,SceneEval-100,18,FALSE
19,A dining room with a ceiling light hanging above the table and two chairs on the long side of the table.,"eq,1,ceiling_light; eq,1,table; eq,2,chair",,"eq,1,above,0,table,ceiling_light; eq,2,long_side,0,table,chair","eq,1,hang,ceiling_light,ceiling",easy,SceneEval-100,19,FALSE
20,"A bedroom with a bed with two nightstands on each side, a wardrobe, and a TV stand positioned in front of the bed. There is a toy box with two dolls outside the box.","eq,1,bed; eq,2,nightstand; eq,1,wardrobe; eq,1,TV_stand; eq,1,toy_box; eq,2,doll",,"eq,1,left,0,bed,nightstand; eq,1,right,0,bed,nightstand; eq,1,front,0,bed,TV_stand; eq,1,face,0,bed,TV_stand; eq,2,outside,0,toy_box,doll",,medium,SceneEval-100,20,FALSE
21,"A bedroom with a bed flanked by two nightstands, and an office chair in front of an office desk located in the corner of the room. There is no wardrobe in the room.","eq,1,bed; eq,2,nightstand; eq,1,office_chair; eq,1,office_desk; eq,0,wardrobe",,"eq,1,left,0,bed,nightstand; eq,1,right,0,bed,nightstand; eq,1,front,0,office_desk,office_chair; eq,1,face,0,office_chair,office_desk","eq,1,corner,office_desk,room",medium,SceneEval-100,21,FALSE
22,"A bedroom with a bed against the wall and at least one nightstand next to it, featuring a lamp on the nightstand. There is an office desk with a monitor on top and a sofa chair in front of it.","eq,1,bed; ge,1,nightstand; eq,1,monitor; eq,1,office_desk; eq,1,sofa_chair; eq,1,lamp",,"ge,1,next_to,0,bed,nightstand; eq,1,on,0,office_desk,monitor; eq,1,front,0,office_desk,sofa_chair; eq,1,face,0,monitor,sofa_chair; eq,1,face,0,office_desk,sofa_chair; eq,1,on,0,nightstand,lamp","eq,1,against,bed,wall",medium,SceneEval-100,22,FALSE
23,"A teenager's bedroom featuring a twin bed with an adjacent nightstand, a wardrobe for clothes, a small desk with a chair, and a bookshelf positioned next to the wardrobe. There are two books outside the bookshelf.","eq,1,bed; eq,1,nightstand; eq,1,wardrobe; eq,1,desk; eq,1,chair; eq,1,bookshelf; eq,2,book","eq,1,bed,twin; eq,1,desk,small","eq,1,adjacent,0,bed,nightstand; eq,1,next,0,wardrobe,bookshelf; eq,2,outside,0,bookshelf,book",,medium,SceneEval-100,23,FALSE
24,"A teenager's bedroom designed for both comfort and functionality includes a twin bed with an adjacent wooden nightstand, a large wardrobe with multiple drawers for clothes, and a small desk and chair equipped with an electronic setup featuring a monitor and peripherals. A large oak bookshelf is positioned next to the wardrobe.","eq,1,bed; eq,1,nightstand; eq,1,wardrobe; eq,1,desk; eq,1,chair; eq,1,monitor; gt,1,electronic_peripheral; eq,1,bookshelf","eq,1,bed,twin; eq,1,nightstand,wooden; eq,1,wardrobe,large; eq,1,wardrobe,multiple_drawers; eq,1,desk,small; eq,1,bookshelf,large; eq,1,bookshelf,oak","eq,1,adjacent,0,bed,nightstand; eq,1,on,0,desk,monitor; gt,1,on,0,desk,electronic_peripheral; eq,1,next,0,wardrobe,bookshelf",,medium,SceneEval-100,24,FALSE
25,"A bedroom with a king-size bed positioned against the wall across from the window. Two stools are placed in front of the bed. A painting hangs above the bed, flanked by a wall light on each side. There is a bookcase with two books on the left side.","eq,1,bed; eq,2,stool; eq,1,painting; eq,2,wall_light; eq,1,bookcase; eq,2,book","eq,1,bed,king_size","eq,2,front,0,bed,stool; eq,1,above,0,bed,painting; eq,1,left,0,bed,wall_light; eq,1,right,0,bed,wall_light; eq,2,left_region,0,bookcase,book","eq,1,against,bed,wall; eq,1,across,bed,window; eq,1,on,painting,wall; eq,2,on,wall_light,wall",medium,SceneEval-100,25,FALSE
26,"A bedroom with three extendable beds, one of which has a doll placed on top. Two of the beds are positioned in the corners of the room, and a dresser is located next to the door. There are two dolls outside a toy box.","eq,3,bed; eq,2,doll; eq,1,dresser; eq,1,toy_box","eq,3,bed,extendable","eq,1,on,0,bed,doll; eq,2,outside,0,toy_box,doll","eq,2,corner,bed,room; eq,1,next,dresser,door",medium,SceneEval-100,26,FALSE
27,"A living room with a coffee table in front of a large sofa, a TV on a TV stand facing the sofa, and a chair on the short side facing the coffee table. There is a cup on the right side of the TV stand.","eq,1,coffee_table; eq,1,sofa; eq,1,TV; eq,1,TV_stand; eq,1,chair; eq,1,cup","eq,1,sofa,large","eq,1,front,0,sofa,coffee_table; eq,1,face,0,coffee_table,sofa; eq,1,on,0,TV_stand,TV; eq,1,face,0,sofa,TV; eq,1,face,0,sofa,TV_stand; eq,1,short_side,0,coffee_table,chair; eq,1,face,0,coffee_table,chair; eq,1,on,0,TV_stand,cup; eq,1,right_region,0,TV_stand,cup",,medium,SceneEval-100,27,FALSE
28,"A living room with a coffee table in front of a large sofa, a TV on a TV stand facing the sofa, and two small tables on each side of the sofa.","eq,1,coffee_table; eq,1,sofa; eq,1,TV; eq,1,TV_stand; eq,2,table","eq,1,sofa,large; eq,2,table,small","eq,1,front,0,sofa,coffee_table; eq,1,face,0,coffee_table,sofa; eq,1,on,0,TV_stand,TV; eq,1,face,0,sofa,TV; eq,1,face,0,sofa,TV_stand; eq,1,left,0,sofa,table; eq,1,right,0,sofa,table",,medium,SceneEval-100,28,FALSE
29,"A living room featuring two bookshelves along the wall, with only one book on the bookshelf nearest the door. Across from the bookshelves, a painting is mounted on the wall. In the center of the room, a table with a tray holding a potted plant sits near an L-shaped sofa.","eq,2,bookshelf; eq,1,book; eq,1,painting; eq,1,table; eq,1,sofa; eq,1,potted_plant; eq,1,tray","eq,1,sofa,l_shaped","eq,1,inside,0,bookshelf,book; eq,1,near,0,table,sofa; eq,1,on,0,table,tray; eq,1,on,0,tray,potted_plant","eq,2,against,bookshelf,wall; eq,1,near,book,door; eq,1,on,painting,wall; eq,1,center,table,room",medium,SceneEval-100,29,FALSE
30,"A living room with a marble table in front of a four-seater sofa. The sofa is positioned in the corner of the room, with two bean bags placed next to the table. A lamp hangs from the ceiling.","eq,1,table; eq,1,sofa; eq,2,bean_bag; eq,1,lamp","eq,1,table,marble; eq,1,sofa,four_seater","eq,1,front,0,sofa,table; eq,1,face,0,table,sofa; eq,2,next,0,table,bean_bag","eq,1,corner,sofa,room; eq,1,hang,lamp,ceiling",medium,SceneEval-100,30,FALSE
31,"A large living room with three display shelves against the wall, with a long sofa in front. There are two tables in front of the sofa and another table right of the sofa with a lamp on top. There is no TV in the room.","eq,3,display_shelf; eq,1,sofa; eq,3,table; eq,1,lamp; eq,0,TV","eq,1,sofa,long","eq,3,front,0,display_shelf,sofa; eq,2,front,0,sofa,table; eq,2,facing,0,table,sofa; eq,1,right,0,sofa,table; eq,1,on,0,table,lamp; eq,1,next,0,sofa,lamp","eq,3,against,display_shelf,wall",medium,SceneEval-100,31,FALSE
32,"A Japanese-style living room featuring a coffee table next to the window with two floor cushions placed beside it. A sofa is positioned across from the window, and in front of the sofa is a table with a teapot on top, completing the serene and minimalist setup.","eq,1,coffee_table; eq,1,table; eq,2,floor_cushion; eq,1,sofa; eq,1,teapot",,"eq,2,next,0,coffee_table,floor_cushion; eq,1,front,0,sofa,table; eq,1,face,0,table,sofa; eq,1,on,0,table,teapot","eq,1,next,coffee_table,window; eq,1,across,sofa,window",medium,SceneEval-100,32,FALSE
33,A living room featuring an irregular-shaped table in the middle of the room with a sofa positioned in front of it. Across the table are two sofa chairs with a small wooden coffee table placed between them. A clock is mounted on the wall far from the door.,"eq,1,table; eq,1,sofa; eq,2,sofa_chair; eq,1,coffee_table; eq,1,clock","eq,1,table,irregular_shape; eq,1,coffee_table,small; eq,1,coffee_table,wooden","eq,1,front,0,sofa,table; eq,1,face,0,table,sofa; eq,2,across,0,table,sofa_chair; eq,1,left,0,coffee_table,sofa_chair; eq,1,right,0,coffee_table,sofa_chair","eq,1,middle,table,room; eq,1,far,clock,door; eq,1,on,clock,wall",medium,SceneEval-100,33,FALSE
34,"A dining room with a bar table positioned in the middle of the room. A wooden shelf is mounted on the wall, holding a potted plant and a jug, adding a touch of decor and functionality. Along the wall, there is a fridge and a wine cabinet, providing ample storage and a cohesive design.","eq,1,bar_table; eq,1,wall_shelf; eq,1,potted_plant; eq,1,jug; eq,1,fridge; eq,1,wine_cabinet","eq,1,wall_shelf,wooden","eq,1,on,0,wall_shelf,potted_plant; eq,1,on,0,wall_shelf,jug","eq,1,middle,bar_table,room; eq,1,on,wall_shelf,wall; eq,1,against,fridge,wall; eq,1,against,wine_cabinet,wall",medium,SceneEval-100,34,FALSE
35,"A dining room with a fridge positioned near the door against the wall. A table is placed in the middle of the room with two chairs on its long sides. In the corner of the room across from the door, there is a cabinet.","eq,1,fridge; eq,1,table; eq,2,chair; eq,1,cabinet",,"eq,2,long_side,0,table,chair","eq,1,against,fridge,wall; eq,1,near,fridge,door; eq,1,middle,table,room; eq,1,corner,cabinet,room; eq,1,across,cabinet,door",medium,SceneEval-100,35,FALSE
36,A dining room with six wooden dining chairs surrounding a round wooden table in the middle of the room. There is no coffee table in the room.,"eq,6,dining_chair; eq,1,dining_table; eq,0,coffee_table","eq,6,dining_chair,wooden; eq,1,dining_table,wooden; eq,1,dining_table,round","eq,1,surround,0,dining_table,dining_chair:0,dining_chair:1,dining_chair:2,dining_chair:3,dining_chair:4,dining_chair:5","eq,1,middle,dining_table,room",medium,SceneEval-100,36,FALSE
37,"A dining room with a square dining table, featuring two chairs on each long side and one chair on each short side of the table.","eq,6,dining_chair; eq,1,dining_table","eq,1,dining_table,square","eq,4,long_side,0,dining_table,dining_chair; eq,2,short_side,0,dining_table,dining_chair",,medium,SceneEval-100,37,FALSE
38,A dining room with a dining table featuring four chairs on the long side and one on a short side. A vase is placed in the middle of the table. A display cabinet is positioned next to a window against the wall.,"eq,5,chair; eq,1,dining_table; eq,1,vase; eq,1,display_cabinet",,"eq,4,long_side,0,dining_table,chair; eq,1,short_side,0,dining_table,chair; eq,1,on,0,dining_table,vase; eq,1,middle_of,0,dining_table,vase","eq,1,against,display_cabinet,wall; eq,1,next_to,display_cabinet,window",medium,SceneEval-100,38,FALSE
39,"Generate a dining room. The room should have a rectangular, wooden dining table with three chairs surrounding it. There is a utility cart near the table with three plates inside.","eq,1,dining_table; eq,3,chair; eq,1,utility_cart; eq,3,plate","eq,1,dining_table,rectangular; eq,1,dining_table,wooden","eq,1,surround,0,dining_table,chair:0,chair:1,chair:2; eq,3,inside,0,utility_cart,plate; eq,1,near,0,dining_table,utility_cart",,medium,SceneEval-100,39,FALSE
40,"A spacious master bedroom featuring a king-size bed against the wall, flanked by two nightstands, one holding a modern table lamp and a small book. A large wardrobe is positioned in the corner of the room, and a wooden dresser with three picture frames on it. Near the window, a plush armchair with a throw blanket provides a cozy seating area. A round area rug is placed at the foot of the bed, adding warmth and style to the space.","eq,1,bed; eq,2,nightstand; eq,1,table_lamp; eq,1,book; eq,1,wardrobe; eq,1,dresser; eq,3,picture_frame; eq,1,armchair; eq,1,blanket; eq,1,rug","eq,1,bed,king_size; eq,1,table_lamp,modern; eq,1,book,small; eq,1,wardrobe,large; eq,1,dresser,wooden; eq,1,armchair,plush; eq,1,rug,round","eq,1,left,0,bed,nightstand; eq,1,right,0,bed,nightstand; eq,1,on,0,nightstand,table_lamp; eq,1,on,0,nightstand,book; eq,3,on,0,dresser,picture_frame; eq,1,on,0,armchair,blanket; eq,1,at_the_foot,0,bed,rug","eq,1,against,bed,wall; eq,1,corner,wardrobe,room; eq,1,near,armchair,window",hard,SceneEval-100,40,FALSE
41,"A teenager's bedroom features a comfortable twin bed with a backboard in the far corner, with boxes underneath it. At the foot of the bed is a small desk equipped with a monitor, an external keyboard and mouse, and a desk lamp on the right for visibility, accompanied by a rolling chair. Next to the bed, a nightstand with an additional floor lamp nearby provides space for a phone and other valuables. A sizable wooden wardrobe with multiple drawers offers ample storage for clothes, while a coffee table beside it holds books and board games. In the center of the room, a tan-colored rug creates a cozy spot to sit, and the walls are adorned with various posters and pictures.","eq,1,bed; gt,1,box; eq,1,desk; eq,1,rolling_chair; eq,1,monitor; eq,1,keyboard; eq,1,mouse; eq,1,desk_lamp; eq,1,nightstand; eq,1,floor_lamp; eq,1,wardrobe; eq,1,coffee_table; gt,1,book; gt,1,board_game; eq,1,rug; gt,1,poster; gt,1,picture","eq,1,bed,twin; eq,1,bed,has_backboard; eq,1,desk,small; eq,1,wardrobe,sizable; eq,1,wardrobe,wooden; eq,1,wardrobe,multiple_drawers; eq,1,rug,tan_colored","gt,1,beneath,0,bed,box; eq,1,at_the_foot,0,bed,desk; eq,1,next_to,0,desk,rolling_chair; eq,1,on,0,desk,monitor; eq,1,on,0,desk,keyboard; eq,1,on,0,desk,mouse; eq,1,on,0,desk,desk_lamp; eq,1,right,0,monitor,desk_lamp; eq,1,next_to,0,bed,nightstand; eq,1,nearby,0,nightstand,floor_lamp; eq,1,beside,0,wardrobe,coffee_table; gt,1,on,0,coffee_table,book; gt,1,on,0,coffee_table,board_game","eq,1,corner,bed,bedroom; eq,1,middle,rug,bedroom; gt,1,on,poster,wall; gt,1,on,picture,wall",hard,SceneEval-100,41,FALSE
42,"A bedroom featuring a bunk bed positioned next to the window, adorned with plush toys on the bed. The room includes two desks placed against the wall, each accompanied by a chair. Over ten plush toys are scattered across the desks, adding a playful and cozy touch to the space.","eq,1,bed; ge,12,plush_toy; eq,2,desk; eq,2,chair","eq,1,bed,bunk","ge,2,on,0,bed,plush_toy; gt,10,on,0,desk,plush_toy; eq,2,front,0,desk,chair; eq,2,face,0,desk,chair","eq,1,next,bed,window; eq,2,against,desk,wall",hard,SceneEval-100,42,FALSE
43,"A modern living room featuring an L-shaped sofa facing a wall-mounted TV above a floating media cabinet. Two leather accent chairs face a glass coffee table in the center, which displays two art books. A bar cart stocked with glasses and bottles stands in the corner, while three pendant lights hang gracefully from the ceiling. The sofa is flanked by two side tables, one of which holds a table lamp, and a large abstract painting decorates the wall.","eq,1,sofa; eq,1,TV; eq,1,wall_cabinet; eq,2,chair; eq,1,coffee_table; eq,2,book; eq,1,bar_cart; ge,2,glass; ge,2,bottle; eq,3,pendant_light; eq,2,side_table; eq,1,table_lamp; eq,1,painting  ","eq,1,sofa,l_shaped; eq,1,TV,wall_mounted; eq,2,chair,leather_accent; eq,1,coffee_table,glass; eq,1,painting,large; eq,1,painting,abstract","eq,1,face,0,TV,sofa; eq,1,above,0,wall_cabinet,TV; eq,2,face,0,coffee_table,chair; eq,2,on,0,coffee_table,book; ge,2,inside,0,bar_cart,glass; ge,2,inside,0,bar_cart,bottle; eq,1,left,0,sofa,side_table; eq,1,right,0,sofa,side_table; eq,1,on,0,side_table,table_lamp","eq,1,on,TV,wall; eq,1,on,wall_cabinet,wall; eq,1,corner,bar_cart,room; eq,3,hang,pendant_light,ceiling; eq,1,on,painting,wall",hard,SceneEval-100,43,FALSE
44,"The room is dimly lit, creating a somber atmosphere in a cozy and well-furnished living room. In the center of the room, there is a dining table with four wooden dining chairs arranged neatly around it. The table appears to be set, indicating a recent meal or gathering. Adjacent to the dining area, There is a glass coffee table serving as a centerpiece for the seating arrangement. It is both stylish and practical, providing a surface for drinks or decor. A multi-seat sofa is in front of the coffee table, providing ample seating for guests. Completing the seating options, two comfortable armchairs also face the coffee table on opposite sides near the sofa. Next to the sofa and each armchair is a corner side table, adding a touch of functionality and convenience. Each table has a lamp on it for lighting. The sofa and seating arrangement should face an opposite wall, against which someone in the scene could view a large flatscreen TV. The TV is supported by a TV stand with storage underneath for various books. The room appears to reflect the inhabitants' taste for a warm and inviting environment, despite the unsettling news program playing on the TV in the background. The juxtaposition of the serene living room with the chaos and screams on the TV screen creates a sense of tension and unease.","eq,1,dining_table; eq,4,dining_chair; eq,1,coffee_table; eq,1,sofa; eq,2,armchair; eq,2,side_table; eq,2,lamp; eq,1,TV; eq,1,TV_stand","eq,4,dining_chair,wooden; eq,1,coffee_table,glass; eq,1,coffee_table,stylish; eq,1,coffee_table,practical; eq,1,sofa,multi-seat; eq,2,side_table,corner; eq,1,TV,large; eq,1,TV,flatscreen; eq,1,TV_stand,has_storage_space","eq,1,around,0,dining_table,dining_chair:0,dining_chair:1,dining_chair:2,dining_chair:3; eq,1,front,0,sofa,coffee_table; eq,1,face,0,coffee_table,sofa; eq,2,front,0,armchair,coffee_table; eq,2,face,0,coffee_table,armchair; eq,1,left,0,sofa,armchair; eq,1,right,0,sofa,armchair; eq,2,near,0,sofa,armchair; eq,2,next,0,sofa,side_table; eq,2,next,0,armchair,side_table; eq,2,on,0,side_table,lamp; eq,1,front,0,sofa,TV_stand; eq,1,face,0,sofa,TV_stand; eq,1,front,0,sofa,TV; eq,1,face,0,sofa,TV; eq,1,on,0,TV_stand,TV; eq,1,across,0,sofa,TV_stand","eq,1,center,dining_table,room; eq,1,against,sofa,wall; eq,1,against,TV_stand,wall",hard,SceneEval-100,44,FALSE
45,"A modern living room featuring four sofa chairs surrounding a circular ceramic table, with two floor lamps positioned adjacent to the table. All the furniture is set on a large rectangular rug in the middle of the room. A large wooden tray with two glass bowls rests on top of the table. A mirror is mounted on the wall next to the window, flanked by a wall lamp on each side.","eq,4,sofa_chair; eq,1,table; eq,1,rug; eq,2,floor_lamp; eq,1,tray; eq,2,bowl; eq,1,mirror; eq,2,wall_lamp","eq,1,table,ceramic; eq,1,table,circular; eq,1,rug,rectangular; eq,1,rug,large; eq,1,tray,wooden; eq,1,tray,large; eq,2,bowl,glass","eq,1,surround,0,table,sofa_chair:0,sofa_chair:1,sofa_chair:2,sofa_chair:3; eq,2,adjacent,0,table,floor_lamp; eq,1,on,0,rug,table; eq,4,on,0,rug,sofa_chair; eq,2,on,0,rug,floor_lamp; eq,1,on,0,table,tray; eq,2,on,0,tray,bowl; eq,1,left,0,mirror,wall_lamp; eq,1,right,0,mirror,wall_lamp","eq,1,middle,rug,room; eq,1,next,mirror,window; eq,1,on,mirror,wall; eq,2,on,wall_lamp,wall",hard,SceneEval-100,45,FALSE
46,"An open-plan dining area featuring a round table surrounded by six mid-century modern chairs. A grand chandelier illuminates the table, while a sideboard with four drawers rests against the wall, topped with three potted plants. Two wall sconces provide additional lighting, flanking a large mirror that hangs between them. A wine cabinet is positioned in the corner, with a serving cart placed nearby for added convenience.","eq,1,table; eq,6,chair; eq,1,chandelier; eq,1,sideboard; eq,3,potted_plant; eq,2,sconce; eq,1,mirror; eq,1,wine_cabinet; eq,1,serving_cart","eq,1,table,round; eq,6,chair,mid_century_modern; eq,1,chandelier,grand; eq,1,sideboard,with_four_drawers; eq,1,mirror,large","eq,1,surround,0,table,chair:0,chair:1,chair:2,chair:3,chair:4,chair:5; eq,1,above,0,table,chandelier; eq,3,on,0,sideboard,potted_plant; eq,1,left,0,mirror,sconce; eq,1,right,0,mirror,sconce; eq,1,near,0,wine_cabinet,serving_cart","eq,1,hang,chandelier,ceiling; eq,1,against,sideboard,wall; eq,2,on,sconce,wall; eq,1,on,mirror,wall; eq,1,corner,wine_cabinet,room",hard,SceneEval-100,46,FALSE
50,"A cozy bedroom featuring a queen-sized bed against a soft pastel wall, with a small desk and bookshelf tucked neatly into the corner.","eq,1,bed; eq,1,desk; eq,1,bookshelf","eq,1,bed,queen_sized; eq,1,desk,small","eq,1,near,0,desk,bookshelf","eq,1,against,bed,wall; eq,1,corner,desk,room; eq,1,corner,bookshelf,room",easy,SceneEval-100,50,FALSE
51,"A simple bedroom featuring a full bed flanked by two bedside lamps, with a large wardrobe positioned directly facing the bed.","eq,1,bed; eq,2,lamp; eq,1,wardrobe","eq,1,bed,full; eq,1,wardrobe,large","eq,1,left,0,bed,lamp; eq,1,right,0,bed,lamp; eq,1,face,0,bed,wardrobe",,easy,SceneEval-100,51,FALSE
52,"A bright bedroom with a king-sized bed, a plush area rug under it, and a dresser along the wall.","eq,1,bed; eq,1,area_rug; eq,1,dresser","eq,1,bed,king_sized; eq,1,area_rug,plush","eq,1,on,0,area_rug,bed","eq,1,against,dresser,wall",easy,SceneEval-100,52,FALSE
53,"A large bedroom with a California king bed, a reading table in the corner with a comfy chair, and a wall-mounted TV for entertainment.","eq,1,bed; eq,1,reading_table; eq,1,chair; eq,1,TV","eq,1,bed,california_king; eq,1,chair,comfy","eq,1,near,0,reading_table,chair; eq,1,face,0,reading_table,chair","eq,1,corner,reading_table,room; eq,1,on,TV,wall",easy,SceneEval-100,53,FALSE
54,"A living room featuring an overstuffed sofa, a vintage wooden table, alongside a bicycle hung decoratively on the wall.","eq,1,sofa; eq,1,table; eq,1,bicycle","eq,1,sofa,overstuffed; eq,1,table,vintage; eq,1,table,wooden","eq,1,near,0,table,bicycle","eq,1,on,bicycle,wall",easy,SceneEval-100,54,FALSE
